id,name,link
d8bf9824-32ee-0ec3-e671-a3e6c5886bd7,Mizrahi Tefahot Bank,united-mizrahi-bank
8d722276-ae74-519b-6305-181b2ced8ea7,Ambina Partners,ambina-partners
19ed6b17-c7a9-3467-8879-ceb9d0b390f3,Rose Park Advisors,rose-park-advisors
6a307fe8-0f9c-435e-a117-3f7807718cf4,Gula Tech Adventures,gula-tech-adventures
e2a5e9bd-676e-4333-9fde-518d0dcea23c,Lord Baltimore Capital Group,lord-baltimore-capital-group
b7d3f623-699b-4567-a171-efdcdd1d0346,Saul Holdings,saul-holdings
7f6806f0-3b1a-252b-1a36-2fbb2432f6bc,Tenfore Holdings,tenfore-holdings
9dd7066b-069a-9dd9-c211-06db31253bd0,Greycroft,greycroft
41fd694a-414b-6b78-ad46-ef9045e8a104,Monashees,monashees-capital
47b84763-9727-7cdf-b194-2742e3963147,New Enterprise Associates,new-enterprise-associates
eabee8b0-79dd-6637-a2d9-53b0db78784f,Valor Capital Group,valor-capital
e1c9fc2f-4530-450b-849a-c66eb3caac41,NextWorld Evergreen,nextworld-evergreen
3cae4eac-9e71-40d1-a708-be3b9376005a,Lightship Capital,lightship-capital
c9a066c3-b70e-4efa-a3d9-ac0237a95540,NOEMIS Ventures,noemis-ventures
822a877b-5e8e-ffa2-7555-de94fa0935a9,Scout Ventures,scout-ventures
946cfbe1-2517-653d-f5fc-d8cf1a07d11f,Morningside Venture Investments,morningside-technology-ventures
21494893-6bc3-4969-b312-ece16c7d9b09,FINTOP Capital,fintop-capital
1df37df7-2a0a-1bbd-792e-0b7452c86777,McCarthy Capital,mccarthy-capital
5fa0fca4-0fda-2312-d24e-3fbdbfeb9002,NewRoad Capital Partners,newroad-ventures
e414e5fa-6382-889d-ca57-8c3cdaca9288,Lavrock Ventures,lavrock-ventures
fb816fab-f529-bd11-ae69-08137799a3ac,Baker Hughes,baker-hughes
c148d35f-c7f2-4a3b-b709-b36100939048,Accelr8,accelr8
cf18d9b9-f9f0-4ffe-b22c-5f923c34dd0c,Goldman Sachs Urban Investment Group,goldman-sachs-urban-investment-group
a7b412c7-d50a-4983-891f-715aea9377c7,VoLo Earth Ventures,volo-earth-ventures
afd58dc7-4aba-415a-8798-f5de6b79ce69,Gutbrain Ventures,gutbrain-ventures
cfdaaef4-ee90-481d-8fac-a98e512a9ff2,Lafayette Square,lafayette-square
0e17d1a2-1f8c-728a-14d3-2a535f59c281,Prosus & Naspers,prosus
fb2f8884-ec07-895a-48d7-d9a9d4d7175c,Founders Fund,founders-fund
fe5a4983-a46a-2fc2-5633-e35e0a86b694,Khosla Ventures,khosla-ventures
796e4250-e66a-1c7b-6ccf-5a4fbd3b1936,Crosslink Capital,crosslink-capital
7b7a9a0d-524d-45bc-03e4-e08b4b0410dc,Vietnam Investments Groups,vietnam-investments-groups
4a97f042-2d36-c628-178a-afbb0945a362,Sierra Ventures,sierra-ventures
08e3990f-78d6-426b-9a33-eb5707524892,Catapult Ventures,catapult-ventures
f024996b-b164-43ff-bd0b-a2c4b255b1d2,Conductive Ventures,conductive-ventures
f4054ae0-d294-50c2-37cf-539e3c0a8009,Georgian,georgian-partners
0d98c70b-4e88-42d8-bfd4-8919e25ce31c,Velvet Sea Ventures,velvet-sea-ventures
b0c66526-911d-6844-b99e-65adc1743024,Teradyne,teradyne
b9931b4c-71ba-499c-90f5-1f12020b0f85,Greensoil PropTech Ventures,greensoil-proptech-ventures
3f723cf7-37d0-bedf-5930-c2aaa0f7441f,Viola Growth,violagrowth
f01b12f9-219f-49a9-ac55-fb0548cb0fc0,Energy Growth Momentum,energy-growth-momentum
260cf8d8-1b0a-4288-8824-ffe2888b1119,Fin Capital,fin-venture-capital
355f3d08-b0a4-abe3-9503-9dc697bc8f37,TTV Capital,ttv-capital
01cb7d53-4822-b63f-55a5-a02cb2281eb9,New Science Ventures,new-science-ventures
6b1260f9-d25f-138b-33b5-078892d3ef33,Innovation Catalyst,innovation-catalyst
da23eb72-ea19-faae-fdc7-9cbf82117737,Silverton Partners,silverton-partners
994a30f7-75dc-a0e2-32ea-1e03f6c5c408,Cathay Innovation,cathay-innovation-fund
b153bd8c-99b7-bb8d-5723-7d1dc3dad0a3,Moderne Ventures,moderne-ventures
091ce620-7776-ba9a-24b4-d7a67205acd1,Edison Partners,edison-ventures
4864536d-721b-1d98-ea6b-8d06a3ba3222,Fifth Wall,fifth-wall-ventures-management
44fb53f6-17ec-4e5c-b245-17055dd4259b,Sharp Alpha Advisors,sharp-alpha-advisors
9321857a-a692-4b73-b476-d3909cc9638c,Griffin Gaming Partners,griffin-gaming-partners
0e09f1a3-ab17-d2d6-80a4-4425f38e4078,Matrix Partners,matrix-partners
0b105988-5b46-9260-40a8-e9b8bc42db35,Portage Ventures,portag3-ventures
fca27a14-0d6a-09bf-5672-e0b1d80368ea,HLM Venture Partners,hlm-venture-partners
26bcf130-4aa8-a3b3-3571-1b8f13143370,Canaan Partners,canaan-partners
ac0709e5-0147-47d2-ae73-ab654be9e407,Sorenson Ventures,sorenson-ventures
de521bef-fb03-4478-bf7a-ced0a02cf8e9,Envisioning Partners,envisioning-partners
66a2215e-87b2-427e-b262-aa55739e67ec,Hanwha Solutions,hanwha-solutions
9b3c3f2d-4af2-0cc3-532b-555670d2b1a5,Mistletoe,mistletoe
47039c84-97cf-4959-ab9d-306806e36ec7,FundNV,fundnv
c5d3765e-c6a1-3935-28dc-0bc7bab8dd72,Science Center,science-center
3824f116-e5b6-4789-bf7c-fcbc8ed2cd00,Luminate,luminate-cd00
d0861cd7-47bc-6a30-7d6c-082f021c0b56,Sands Capital Ventures,sands-capital-ventures
1787528e-7bd3-a500-ba86-ac55205e7e21,CRV,crvvc
cde5b9fb-e706-bf8f-7e94-6ce84f487e2a,Noro-Moseley Partners,noro-moseley-partners
1bbd5a3f-b941-4841-af17-eed312a608d5,Pendulum Holdings,pendulum-opportunities
b08efc27-da40-505a-6f9d-c9e14247bf36,Accel,accel
85a1fdfb-93eb-4888-9278-fc5ab0dbe38a,Wells Fargo Strategic Capital,wells-fargo-strategic-capital
bef8482a-9f2c-8a99-c725-1ffc36a92fc8,Energy Impact Partners,energy-impact-partners
59939e6e-f8ec-79e1-91ac-5d146a1e6ccc,Paladin Capital Group,paladin-capital-group
ba729e78-75e5-af48-6408-42b7b74aa449,Cota Capital,cota-capital
beadb218-e5fa-2686-bc95-4dfaa9acc2e8,Bessemer Venture Partners,bessemer-venture-partners
3267dc46-7fc2-5ccc-c558-c7c38012c299,ZIM Integrated Shipping Services,zim-integrated-shipping-service-ltd
a717fa3a-69b7-7b03-264b-15a933b2c3ab,OCA Ventures,oca-ventures
eed953ae-798a-4546-8162-8fd82c0b6b05,ScaleX Partners,scalex-partners
2942e350-183f-abdc-be92-12bbc219bf0b,HDFC Bank,hdfc-bank
7d1186b3-7202-4490-b0a9-329c09bb1d56,HDFC Securities,hdfc-securities
2e088b1e-86ae-4869-950c-59f84a97f96b,Hashed,hashed-f96b
bbdd5601-9fb3-e08a-a4f0-8acfedacb6d8,Peak 6,peak6-investments
84c5275e-2a2f-e43a-1ff1-1a5f7c79975f,Apollo,apollo-global-management-llc
7712595d-fbff-456f-8e1b-dabd31caa7e0,Prosus Ventures,prosus-ventures
466515f3-f84f-6afc-b3cf-3b812dfa0126,FTV Capital,ftv-capital
53f925ac-7f13-6fdb-2797-e61ad31a177e,Accelmed,accelmed
b2d0a0cb-3de9-bd0a-32ed-eb8b5d3543ba,H.I.G. BioHealth Partners,h-i-g-biohealth-partners
4cb65bd6-7105-1b64-1c6c-989974acfed4,RPM Ventures,rpm-ventures
3718597a-dd39-6661-3630-09cdd43bcac2,Techstars,techstars
d49cc031-9493-15f3-276c-b0a15e061407,Serent Capital,serent-capital
e6a1e28a-7633-49dd-b1ab-9b2819946e40,Arboretum Ventures,arboretum-ventures
c6c8be44-e4f4-4e55-8895-7467b86b146a,Black Star Fund,black-star-fund
103120eb-99b3-2176-d370-ed26b1a17808,Motive Partners,motive-partners
d485bccc-d523-525e-56b6-38131b77cf95,Listen,listen-llc
78dd8b3c-c82d-48a3-ac27-eb5e059e55f9,Amboy Street Ventures,amboy-street-ventures
6f5abb8a-416b-a8b2-f6b9-10c3cf75fcc5,Beringea,beringea
1a003e22-dd31-4546-9f37-da065ad2369a,New Age Capital,new-age-capital
d46f22c0-1dbf-671a-8eb2-3c2bb137b1b3,JMI Equity,jmi-equity
4c0cfea9-6d45-54d7-50fe-d8d82fcd2e55,BAMCAP,betaangels-management
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,Kleiner Perkins,kleiner-perkins-caufield-byers
ddb96339-2d9e-442f-a8c6-30a5313390c9,Left Lane Capital,left-lane-capital
89ae9e23-c387-41d8-95e4-8013260302f2,Transformation Capital,transformation-capital-02f2
1952a176-8b38-da03-fe10-d84127e2685d,Cleveland Clinic,cleveland-clinic
b7d69b4b-dea8-4a64-bd39-4b19223904dc,Dr. William H. Joyce Family Office,dr-william-h-joyce-family-office
b41089ca-8424-ce26-4a77-d0d66606efc8,Point72 Ventures,point72-ventures
a543f257-7e33-425e-811f-8bd43949792f,XN,xn
819add45-b047-8fe7-ebdc-5c6c2c716121,IDO Investments,ido-investment
64cb6b5c-e1cf-4f1f-9ce6-b2e0b0f3b1f1,Platform Capital,platform-capital-b1f1
add1bcfe-41e3-7828-253b-d7c8694ed4ca,Polaris Partners,polaris-partners
91b20205-c336-353c-da13-5fa45d497ce7,Providence Ventures,providence-ventures
15a6d96e-5cbb-c1ba-d138-234d85a31b83,LaunchCapital,launchcapital
6abc55c4-79d1-4278-90f5-ebbc669b76e9,Zigg Capital,zigg-capital
0202fc06-492e-b884-f0b1-60423e641363,Day One Capital,day-one-capital
c4b030a2-8be8-45ff-8c48-cb0e76411da4,Inference Partners,inference-partners
e6e46588-3f1a-57af-b08b-4c435c6313cb,Inventure,inventure-oy
f165f785-9fd7-a990-8d7e-6ca1e97ecae2,PortfoLion Capital Partners,portfolion
6a1990a9-b4c7-4eb0-86fc-bcd911961526,Card1Ventures,card1ventures
13a3a322-4bff-4e21-a50c-1211c8dfbebf,Better Tomorrow Ventures,better-tomorrow-ventures-bebf
994e5ee1-4cfd-23bb-fbe0-31cdc7884034,TenOneTen Ventures,tenoneten-ventures
31b79d8b-db8b-47a1-b740-9d772574dd2e,ADvantage,advantage-sports-tech-fund
d8fe95b1-05b4-4947-85be-bc34017a2e1a,Verance Capital,verance-capital
c7e40363-f16b-731f-a4c3-0b2f960e1837,Corazon Capital,corazon-capital
f5b3b08f-b042-4df2-9031-628d4ed29d39,Redwood Ventures,redwood-ventures
e75a62c1-f4d8-4d17-bd98-905c201b3582,Render capital,render-capital
4a5bce91-a815-4b44-9302-a67bc51fd1e3,Valtruis,valtruis
14d134b9-3b1d-42ef-a3f0-cc8230ae0f8e,Next47,next47
d0a6043b-7164-af60-1063-e3314c6d9d95,Resolute Ventures,resolute-vc
94d6d13c-626e-4aaf-b357-a8bfed73873c,Shepherd Kaplan Krochuk,shepherd-kaplan-krochuk
7e772e20-8ede-4205-a101-d827be09dfe6,SeedBlink,seedblink
11ed2a3b-60c4-4898-88b6-09b470f8f269,Badlands Capital,badlands-capital
b3f29ace-fef9-a5ee-d1b6-d3a7d25bab81,Frontier Growth,frontier-growth
f2a7f76a-5930-b584-21a0-da0b1587dd7c,Progress Ventures,progress-ventures
c7317198-1625-e505-9d92-a53acfab432f,K1 Investment Management,k1-investment-management
6dc4e5d1-c365-a183-f5d8-d9469207139f,Cultivation Capital,cultivation-capital
cdab277d-a957-df88-e53d-8f32ce959120,VentureSouth,south-carolina-angel-network
392304a1-8cf5-fca0-729c-f883cab7ba1f,Chile Ventures,chile-ventures
85aacb99-d9ce-2150-b222-0e7c2fc823b0,Link Ventures,link-ventures
9036dcf8-62bd-4f20-689e-cde51b9451ca,BMO Capital Markets,bmo-capital-markets-corp
e2f14785-3e2e-628b-31bd-6d7d0f5e9369,Redpoint eventures,redpoint-eventures
6bbce574-3f59-1f6d-3d9b-914b67ba4073,Lateral Frontiers,lateral-capital
e970ab9b-d422-3224-8e62-90f44283f8a3,B&Y Venture Partners,b-y-venture-partners
c5ce0b5a-0ed9-8119-6b4d-8419620d9be3,CIH Investment Capital Limited,cih-investment-capital-limited
095c1686-3bb4-4eda-8d6c-b2cbd2cb916e,Amarena,amarena
e23b098b-9c15-da2e-8dcc-4dc33fac238c,Asset Management Ventures (AMV),asset-management-ventures
ee8aeb33-e001-4f71-b027-7d7270a63361,Forecast Labs,forecast-labs
946990d7-335c-f9e3-bc2e-edf51df29e63,1955 Capital,1955-capital
6717bcc3-ee4c-45db-b273-6be818a576da,Women’s World Banking Asset Management,women-s-world-banking-asset-management
a34c63f0-c277-3e4b-bbfc-1868ca81596d,Menlo Ventures,menlo-ventures
dfd13891-fe61-4eaa-87b9-6cd9e9c5bcc3,GFT Ventures,gft-ventures
9ec68d8b-7d52-3d55-b863-e10e0646dff7,Quest Venture Partners,quest-venture-partners
a2446b5e-2c49-8d15-6304-cbbcbb25fc52,Advent International,advent-international
59307a11-3eb2-be87-4b1c-7a64ab00192d,Harbert Growth Partners,harbert-growth-partners
904a716a-93d3-4456-9543-70fcf381e268,Craft Ventures,craft-ventures
93c87ab7-7cee-5c54-9941-104693dbbdba,Plug and Play Ventures,plug-and-play-ventures
e0891a23-4bb6-4028-b93a-ad8fc319ba4c,Norrsken Foundation,norrsken-foundation-ba4c
fe18949b-01c1-ac2c-e807-a874113ec371,Multicoin Capital,multicoin-capital
3ad50a46-5042-4b99-99f7-3b4f3a52bfdd,NordicNinja VC,nordicninja-vc
90f0c4ac-5108-4dcd-8b91-dc3c4a84bbfd,Taavet+Sten,taavet-sten
eb89ba88-19b5-434d-8c0f-3c3d2e7c5528,Unit Leader,unit-leader
6a99373e-4f20-821f-9ca2-2b466efc3373,Five Elms Capital,five-elms-capital
dd9b11f1-6631-571e-1c98-c2dbfbb4f926,Shell Ventures,shell-technology-ventures
a0fff4af-daff-56e5-80e1-d490f55afd4b,Eclipse Ventures,eclipse-ventures
9cffd09c-1dea-4b3c-b2de-0e61a95e0609,Disruption Ventures,disruption-ventures
1bddda18-51ee-455c-b127-8e13181a042f,Acronym Venture Capital,acronym-venture-capital
e6b7225b-7d81-6819-3d65-17867e92ac16,Stadia Ventures,stadia-ventures
bbd495b3-83e6-4873-83aa-b5514a3fe3cf,SYN Ventures,syn-ventures
4e9cd3ef-0ef1-73e3-737e-68ad15705779,Anthos Capital,anthos-capital
1a200df5-c0c0-4195-9137-7eba348f4ea1,Tidemark Capital,tidemark-4ea1
ffed9dbc-f09a-4070-b204-cceddae2f25e,Traction Capital,traction-capital
9aa041b9-d9f2-39e7-f056-a0f4d6294220,Advantage Capital,advantage-capital-partners
53e3ee53-26cb-4c45-a6f7-811286b5bcd4,Monte Carlo Capital,monte-carlo-capital
3213cd7d-06e0-3ecb-3359-29aa8deddfa6,Mayfield Fund,mayfield-fund
90fd978b-f710-43b4-9d19-94e56744aec2,Connect Ventures,connect-ventures-aec2
38787f35-19eb-4ee6-b7c3-f400074f8837,irrvntVC,irrvntvc
f6f889a7-af59-2363-8984-addadc4da1b2,Goodwater Capital,goodwater-capital
62426ec0-be52-3f79-8adb-405de209755d,Headline,headlinevc
588b2bc2-89fc-d2ef-f550-62517e739e03,Sanabil,sanabil
17d29506-11c2-4e46-ae16-37538e7ea87c,National Grid Partners (NGP),national-grid-partners-ngp
8a853a23-bd17-4416-ad38-73b8ecde4f71,Clean Energy Ventures,clean-energy-ventures-cev
b6adcc50-5c1f-4fd7-89aa-8806e1dc59ab,Canapi Ventures,canapi
1331bfdf-28f4-43b1-854f-e57d9a6510fe,Imaginary Ventures,imaginary-ventures
6f82597a-9890-a336-f996-8d6c1224a2b6,KFW DEG,kfw-deg
be5a078f-9b15-6536-4ed2-161d5db03251,SeventySix Capital,seventysix-capital
bc68bfc6-a974-cf08-9e9f-2edebd7d7f32,InfraVia Capital Partners,infravia-capital-partners
